kilderefnr,anlegg_nr,name,max_capacity_2017-19
0220AL01,3203.0059.01,Sentralrenseanlegg Vest (VEAS),926610
0301AL01,0301.0979.01,Bekkelaget renseanlegg med tilførselstuneller og overløp,746333
0704AL40,3905.0110.01,Tønsberg renseanlegg,181337
0602AL06,3301.0187.01,Solumstrand avløpsanlegg,150663
0106AL00,3107.0134.01,Øra avløpsanlegg,129451
0136AL00,3103.0153.01,Fuglevik avløpsanlegg,98306
0706AL15,3907.0070.01,Sandefjord renseanlegg,85687
0214AL23,3218.0016.01,Nordre Follo renseanlegg,81225
0626AL61,3312.0091.01,Linnes avløpsanlegg,57020
0709AL01,3909.0040.01,Lillevik renseanlegg,56333
0805AL01,4001.0074.01,Knarrdalstrand renseanlegg,52502
0101AL07,3101.0055.01,Remmendalen avløpsanlegg,46094
0711AL40,3301.0451.01,Bokerøya renseanlegg,33205
0104AL01,3103.0052.03,Kambo avløpsanlegg,31114
0720AL33,3907.0206.01,Vårnes renseanlegg,30987
0211AL47,3216.0024.01,Søndre Follo renseanlegg,26486
0701AL01,3901.0045.01,Falkensten renseanlegg,26147
0805AL29,4001.0077.01,Heistad renseanlegg,17447
0814AL37,4012.0044.01,Salen renseanlegg,17422
0215AL35,3214.0019.01,Frogn renseanlegg,15884
0702AL30,3903.0025.01,Holmestrand renseanlegg,14156
0135AL01,3112.0009.01,Hestevold renseanlegg,8521
0723AL01,3911.0019.01,Bekkevika renseanlegg,6232
0814AL00,4012.0041.01,Rakkestad renseanlegg,4378
0701AL04,3901.0047.01,Åsgårdstrand renseanlegg,3550
0814AL38,4012.0045.01,Herre renseanlegg,1319
0101AL02,3101.0052.01,Bakke (Nedlagt),721
0805AL18,4001.0076.01,Langangen avløpsrenseanlegg,545
