kilderefnr,anlegg_nr,name
0104AL01,3103.0052.03,Kambo avløpsanlegg
0135AL01,3112.0009.01,Hestevold renseanlegg
0136AL00,3103.0153.01,Fuglevik avløpsanlegg
0214AL23,3218.0016.01,Nordre Follo renseanlegg
0215AL35,3214.0019.01,Frogn renseanlegg
0220AL01,3203.0059.01,Sentralrenseanlegg Vest (VEAS)
0301AL01,0301.0979.01,Bekkelaget renseanlegg med tilførselstuneller og overløp
0602AL06,3301.0187.01,Solumstrand avløpsanlegg
0626AL61,3312.0091.01,Linnes avløpsanlegg
0701AL01,3901.0045.01,Falkensten renseanlegg
0701AL04,3901.0047.01,Åsgårdstrand renseanlegg
0702AL30,3903.0025.01,Holmestrand renseanlegg
0704AL40,3905.0110.01,Tønsberg renseanlegg
0706AL15,3907.0070.01,Sandefjord renseanlegg
0709AL01,3909.0040.01,Lillevik renseanlegg
0720AL33,3907.0206.01,Vårnes renseanlegg
0805AL01,4001.0074.01,Knarrdalstrand renseanlegg
0805AL18,4001.0076.01,Langangen avløpsrenseanlegg
0805AL29,4001.0077.01,Heistad renseanlegg
0814AL00,4012.0041.01,Rakkestad renseanlegg
0814AL37,4012.0044.01,Salen renseanlegg
0814AL38,4012.0045.01,Herre renseanlegg
